page,page_title,active_visitors
irs.gov/businesses/small-businesses-&-self-employed/apply-for-an-employer-identification-number-(ein)-online,Apply for an Employer Identification Number (EIN) Online,229
nasa.gov/,NASA,226
irs.gov/payments/direct-pay,Welcome to Direct Pay!,212
tsdr.uspto.gov/,Trademark Status & Document Retrieval,198
usajobs.gov/applicant/application/listapplications,USAJOBS - Application Status,196
irs.gov/individuals/get-an-identity-protection-pin,Get An Identity Protection PIN (IP PIN),191
socialsecurity.gov/onlineservices/,What You Can Do Online,190
ceac.state.gov/genniv/general/complete/complete_travel.aspx?node=travel,Nonimmigrant Visa - Travel Information,189
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Enter Employee I-9 Information,188
travel.state.gov/content/passports/en/passports.html,U.S. Passports & International Travel,188
ceac.state.gov/genniv/default.aspx,Nonimmigrant Visa - Instructions Page,183
va.gov/,U.S. Department of Veterans Affairs,178
irs.gov/filing,Filing Your Taxes,176
irs.gov/refunds/tax-season-refund-frequently-asked-questions,2016 Tax Season Refund Frequently Asked Questions,176
irs.gov/spanish/dÃ_nde-estÃ¡-mi-reembolso,"Â¿DÃ_nde estÃ¡ mi reembolso? - Es rÃ¡pido, fÃ¡cil y seguro",166
donotcall.gov/confirm/conf.aspx,National Do Not Call Registry,165
ceac.state.gov/ceac/,Consular Electronic Application Center,163
apod.nasa.gov/apod/astropix.html,Astronomy Picture of the Day,156
irs.gov/taxtopics/tc203.html,"Tax Topics - Topic 203 Refund Offsets for Unpaid Child Support, Certain Federal and State Debts, and Unemployment Compensation Debts",150
irs.gov/uac/free-file:-do-your-federal-taxes-for-free,Free File: Do Your Federal Taxes for Free,148
uspto.gov/,United States Patent and Trademark Office,148
ceac.state.gov/genniv/general/complete/complete_personal.aspx?node=personal1,Nonimmigrant Visa - Personal Information 1,144
irs.gov/payments,"Payment Options: Pay Online, Installment Plans and More",144
noaa.gov/index_nomobile.html,NOAA - National Oceanic and Atmospheric Administration,144
stopbullying.gov/respond/be-more-than-a-bystander/index.html,Be More Than a Bystander | StopBullying.gov,144
cdc.gov/zika/pregnancy/question-answers.html,Question and Answers: Zika virus infection (Zika) and pregnancy | Zika virus | CDC,142
ceac.state.gov/iv/login.aspx,Immigrant Visa - Sign In,142
donotcall.gov/,National Do Not Call Registry,141
donotcall.gov/register/reg.aspx,National Do Not Call Registry,141
uscis.gov/n-400,Application for Naturalization | USCIS,140
ceac.state.gov/genniv/general/esign/complete_done.aspx?node=done,Nonimmigrant Visa - Confirmation Page,138
socialsecurity.gov/bso/bsowelcome.htm,Business Services Online,137
usajobs.gov/applicant/resume/listresumes,USAJOBS - Resumes,137
studentaid.ed.gov/sa/,Federal Student Aid,136
cdc.gov/zika/symptoms/,"Symptoms, Diagnosis, & Treatment | Zika virus | CDC",135
ceac.state.gov/genniv/general/complete/complete_workeducation1.aspx?node=workeducation1,Nonimmigrant Visa - Present Work/Education/Training Information,135
irs.gov/tax-professionals/e-services---online-tools-for-tax-professionals,e-Services - Online Tools for Tax Professionals,130
nsopw.gov/en-us/search/results,Search Results,130
cdc.gov/,Centers for Disease Control and Prevention,129
census.gov/cgi-bin/sssd/naics/naicsrch,NAICS Search,129
cdc.gov/zika/geo/,Areas with Zika | Zika virus | CDC,126
ceac.state.gov/genniv/general/complete/complete_uscontact.aspx?node=uscontact,Nonimmigrant Visa - U.S. Point of Contact Information,124
irs.gov/help-&-resources,Help and Resources,122
opm.gov/investigations/e-qip-application/,e-QIP Application,121
opm.gov/policy-data-oversight/pay-leave/salaries-wages/2016/general-schedule/,General Schedule,121
ceac.state.gov/genniv/,Nonimmigrant Visa - Instructions Page,120
noaa.gov/wx.html,NOAA - National Oceanic and Atmospheric Administration - Weather,120
ssa.gov/ssnumber/,New or Replacement Social Security Number and Card,119
studentaid.ed.gov/sa/repay-loans/understand/plans/income-driven,Income-Driven Plans | Federal Student Aid,118
bop.gov/inmateloc/,Inmate Locator,116
irs.gov/uac/contact-your-local-irs-office-1,Contact Your Local IRS Office,114
treasury.gov/resource-center/data-chart-center/interest-rates/pages/textview.aspx?data=yield,Daily Treasury Yield Curve Rates,110
ceac.state.gov/genniv/general/complete/passport_visa_info.aspx?node=pptvisa,Nonimmigrant Visa - Passport Information,109
ceac.state.gov/genniv/general/complete/complete_contact.aspx?node=addressphone,Nonimmigrant Visa - Address and Phone Information,108
studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation/public-service,Public Service Loan Forgiveness | Federal Student Aid,108
usajobs.gov/search/advancedsearch,Advanced Search,108
ceac.state.gov/genniv/general/complete/complete_workeducation2.aspx?node=workeducation2,Nonimmigrant Visa - Previous Work/Education/Training Information,107
earthquake.usgs.gov/earthquakes/map/,"1 Day, Magnitude 2.5+ Worldwide",107
vote.usa.gov/,Voter Registration | USA.gov,107
travel.state.gov/content/passports/en/passports/forms.html,Forms,105
tsa.gov/tsa-precheck/apply,Apply for TSA Preâœ“Â® | Transportation Security Administration,104
cdc.gov/std/widgets/widget-3b.html,STD Widget 3,103
cdc.gov/zika/,Zika Virus | CDC,103
irs.gov/uac/newsroom/2016-standard-mileage-rates-for-business-medical-and-moving-announced,"2016 Standard Mileage Rates for Business, Medical and Moving Announced",102
socialsecurity.gov/retire/apply.html,How to Apply Online For Social Security Retirement Benefits,100
travel.state.gov/content/passports/en/passports/first-time.html,First Time Applicants,100
usajobs.gov/account/forgotpassword,USAJOBS - Account Verification,100
archives.gov/exhibits/charters/constitution_transcript.html,Transcript of the Constitution of the United States - Official Text,98
cpol.army.mil/,Civilian Personnel On Line Homepage | cpol.army.mil,98
uspto.gov/trademarks-application-process/search-trademark-database,Search Trademark Database | USPTO,98
opm.gov/,OPM.gov,97
ssa.gov/agency/contact/phone.html,Contact Social Security By Phone,97
ceac.state.gov/genniv/general/complete/complete_previousustravel.aspx?node=previousustravel,Nonimmigrant Visa - Previous U.S. Travel Information,96
ftc.gov/tips-advice/business-center/privacy-and-security/children's-privacy,Children's Privacy | Federal Trade Commission,96
travel.state.gov/content/travel/en.html,travel.state.gov,96
ceac.state.gov/genniv/general/complete/complete_family1.aspx?node=relatives,Nonimmigrant Visa - Family Information: Relatives,94
eauth.va.gov/wssweb/wss-claims-webparts/mvc/ebn/openclaimsummary,Summary - Claim Status,94
nih.gov/,National Institutes of Health (NIH) | Turning Discovery Into Health,94
apps.irs.gov/app/scripts/exit.jsp?dest=https://turbotax.intuit.com/taxfreedom/,IRS Disclaimer,93
travel.state.gov/content/passports/en/passports/information/where-to-apply.html,Where to Apply,93
travel.state.gov/content/passports/en/passports/under-16.html,Passports for Minors Under 16,93
cdc.gov/zika/geo/index.html,Areas with Zika | Zika virus | CDC,92
gsaadvantage.gov/advantage/s/search.do?db=0&searchtype=0,Search Results,89
irs.gov/uac/irs-privacy-policy,IRS Privacy Policy,89
my.usajobs.gov/applicant/application/listapplications,USAJOBS - Application Status,89
portal.hud.gov/hudportal/hud?src=/program_offices/public_indian_housing/reac/online,REAC,89
choosemyplate.gov/,Choose MyPlate,85
usajobs.gov/applicant/myaccount/home,My Account - Home,85
uscis.gov/i-130,Petition for Alien Relative | USCIS,85
irs.gov/refunds/,"Where's My Refund? - It's Quick, Easy and Secure.",84
defense.gov/,United States Department of Defense,83
irs.gov/uac/about-form-w9,"Form W-9, Request for Taxpayer Identification Number (TIN) and Certification",83
usajobs.gov/applicant/myaccount/inbox,USAJOBS - Inbox,83
apps.irs.gov/app/picklist/list/formspublications.html,Forms and Publications (PDF),81
energy.gov/,Department of Energy,81
uspto.gov/learning-and-resources/portal-applications,Portal Applications | USPTO,81
irs.gov/uac/about-form-1040,"Form 1040, U.S. Individual Income Tax Return",80
ssa.gov/retire/estimator.html,Retirement Estimator,80
ceac.state.gov/genniv/general/complete/complete_personalcont.aspx?node=personal2,Nonimmigrant Visa - Personal Information 2,79
gsa.gov/portal/content/101518,FY 2016 Meals and Incidental Expenses (M&IE) Breakdown,79
uspto.gov/patents-application-process/search-patents,Search for Patents | USPTO,79
usajobs.gov/applicant/document/listdocuments,My Account - Saved Documents,78
cdc.gov/healthyweight/assessing/bmi/adult_bmi/english_bmi_calculator/bmi_calculator.html,Adult BMI Calculator: English | Assessing Your Weight | Healthy Weight | DNPAO | CDC,77
ceac.state.gov/genniv/general/review/review_reviewpersonal.aspx?node=reviewpersonal,"Non-Immigrant Visa - Review Personal, Address, Phone, and Passport Information",77
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3755,Selected Topic,77
gsa.gov/portal/content/104877,Per Diem Rates,77
teas.uspto.gov/forms/teas.service,"Trademark/Service Mark Application, Principal Register",77
weather.gov/radar,Doppler Radar National Mosaic,77
uscis.gov/i-485,Application to Register Permanent Residence or Adjust Status | USCIS,76
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_getdetail,Motor Carrier Details,75
irs.gov/individuals/irs-withholding-calculator,IRS Withholding Calculator,74
cdc.gov/zika/geo/united-states.html,Zika virus in the United States | Zika virus | CDC,73
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS,73
studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation,"Forgiveness, Cancellation, and Discharge | Federal Student Aid",72
uscis.gov/i-765,Application for Employment Authorization | USCIS,72
jpl.nasa.gov/news/news.php?feature=5052,News | Exotic Cosmic Locales Available as Space Tourism Posters,71
apps.irs.gov/app/freefile/jsp/index.jsp?ck=,Free File: I Will Choose A Free File Software,70
irs.gov/uac/irs2goapp,IRS2Go Mobile App,70
uspto.gov/patents-application-process/checking-application-status/check-filing-status-your-patent-application,Check the Filing Status of Your Patent Application | USPTO,70
cdc.gov/zika/symptoms/index.html,"Symptoms, Diagnosis, & Treatment | Zika virus | CDC",69
consumerfinance.gov/find-a-housing-counselor/,Find a housing counselor > Consumer Financial Protection Bureau,69
smclinician.myhealth.va.gov/mhv-sm-web/leftnav.action,My HealtheVet - Secure Messaging - Inbox,69
usa.gov/unclaimed-money,Unclaimed Money from the Government | USA.gov,69
uscis.gov/forms,Forms | USCIS,69
irs.gov/affordable-care-act/questions-and-answers-about-health-care-information-forms-for-individuals,"Questions and Answers about Health Care Information Forms for Individuals (Forms 1095-A, 1095-B, and 1095-C)",68
travel.state.gov/content/visas/en/law-and-policy/bulletin/2016/visa-bulletin-for-march-2016.html,Visa Bulletin For March 2016,68
usgs.gov/,Welcome to the USGS - U.S. Geological Survey,68
apps.irs.gov/app/withholdingcalculator/index3.jsp,2016 Withholding Calculator,67
bop.gov/mobile/find_inmate/byname.jsp,BOP: Federal Inmates By Name,67
cdc.gov/std/chlamydia/stdfact-chlamydia.htm,STD Facts - Chlamydia,67
cdc.gov/zika/disease-qa.html,Zika virus Disease Q & A | Zika virus | CDC,67
ceac.state.gov/genniv/common/recovery.aspx,Nonimmigrant Visa - Recover Your Application,67
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Select Citizenship Status,67
uscis.gov/i-90,Application to Replace Permanent Resident Card | USCIS,67
whitehouse.gov/,The White House | whitehouse.gov,67
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.hrblock.com/ffa/index.html?otppartnerid=180,IRS Disclaimer,65
earthexplorer.usgs.gov/,EarthExplorer,65
fbo.gov/index?s=opportunity&mode=list&tab=list,Opportunities - Federal Business Opportunities: Opportunities,65
regulations.gov/,Regulations.gov,65
ssa.gov/agency/contact/,Contact Social Security,65
cdc.gov/std/hpv/stdfact-hpv.htm,STD Facts - Human papillomavirus (HPV),64
espanol.cdc.gov/enes/flu/about/disease/symptoms.htm,Los sÃ_ntomas y la gravedad de la influenza | Influenza estacional | CDC,64
irs.gov/for-tax-pros,Tax Professionals,64
justice.gov/,U.S. Department of Justice,64
travel.state.gov/content/passports/en/passports/information/processing-times.html,Processing Times,64
ceac.state.gov/genniv/common/confirmapplicationid.aspx?node=securequestion,Consular Electronic Application Center - Confirm Application ID Page,63
faa.gov/uas/registration/,Unmanned Aircraft Systems (UAS) Registration,63
planetquest.jpl.nasa.gov/exoplanettravelbureau,PlanetQuest - The Search for Another Earth,63
studentaid.ed.gov/sa/fafsa,FAFSA: Applying for Aid | Federal Student Aid,63
cpsc.gov/en/recalls/2016/michaels-recalls-holiday-paper-boxes/,Michaels Recalls Holiday Paper Boxes Due to Risk of Mold Exposure | CPSC.gov,62
identitytheft.gov/,Identity Theft Recovery Steps | IdentityTheft.gov,62
irs.gov/individuals/online-payment-agreement-application,Apply for an Online Payment Agreement for Individuals and Businesses,62
portal.hud.gov/hudportal/hud,HUD/U.S.,62
ssa.gov/onlineservices/,What You Can Do Online,62
travel.state.gov/content/passports/en/passports/photos/photos.html,Photo Requirements,62
choosemyplate.gov/tools-supertracker,SuperTracker | Choose MyPlate,61
consumer.ftc.gov/articles/0155-free-credit-reports,Free Credit Reports | Consumer Information,61
ftc.gov/,Federal Trade Commission | Protecting America's Consumers,61
goes.noaa.gov/ecir4.html,"Eastern U.S. Infrared, Enhancement 4 - NOAA GOES Geostationary Satellite Server",61
gsa.gov/portal/category/100000,GSA Home,61
quickfacts.census.gov/cgi-bin/qfd/lookup,QuickFacts: Locate a county by place name,61
whitehouse.gov/eastereggroll,2016 White House Easter Egg Roll | The White House,61
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_pagelabel=mhvhome,My HealtheVet,60
ssa.gov/ssnumber/ss5doc.htm,Learn what documents you need to get a Social Security Card,60
ceac.state.gov/genniv/general/esign/signtheapplication.aspx?node=signcertify,Nonimmigrant Visa - E-Signature and Certification,59
my.usajobs.gov/account/resetpasswordsuccess,USAJOBS - Reset Password Confirmation,59
nps.gov/alca/index.htm,Alcatraz Island (U.S. National Park Service),59
socialsecurity.gov/forms/apply-for-benefits.html,Apply for Social Security Benefits,59
spc.noaa.gov/products/fire_wx/fwdy2.html,"Feb 17, 2016 Day 2 Fire Weather Outlook",59
ssa.gov/disabilityssi/apply.html,Apply Online for Disability Benefits,59
uscis.gov/about-us/contact-us,Contact Us | USCIS,59
ceac.state.gov/genniv/general/photo/photo_uploadthephoto.aspx?node=uploadphoto,Nonimmigrant Visa - Upload Photo,57
irs.gov/taxtopics/tc201.html,Tax Topics - Topic 201 The Collection Process,57
uspto.gov/trademark,Trademarks | USPTO,57
weather.gov/forecastmaps,National Forecast Maps,57
apps.irs.gov/app/scripts/exit.jsp?dest=tel:800-829-1040,IRS Disclaimer,56
irs.gov/uac/about-form-1040ez,"Form 1040EZ, Income Tax Return for Single and Joint Filers With No Dependents",56
nps.gov/features/yell/webcam/oldfaithfulstreaming.html,National Park Service Webcam,56
socialsecurity.gov/ssnumber/,New or Replacement Social Security Number and Card,56
cbp.gov/travel/trusted-traveler-programs/global-entry,Global Entry | U.S. Customs and Border Protection,55
faa.gov/,Federal Aviation Administration,55
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=refillprescriptions,My HealtheVet,55
opm.gov/policy-data-oversight/snow-dismissal-procedures/current-status/,Current Status,55
sm.myhealth.va.gov/mhv-sm-web/compose.action,My HealtheVet - Secure Messaging - Create New Message,55
apps.irs.gov/app/scripts/exit.jsp?dest=https://idverify.irs.gov/ie/e-authenticate/welcome.do,IRS Disclaimer,54
dol.gov/,United States Department of Labor,54
earthobservatory.nasa.gov/iotd/view.php?id=87513&eocn=home&eoci=iotd_title,The Demise of the Warm Blob : Image of the Day,54
eauth.va.gov/wssweb/wss-common-webparts/mvc/ebn/rateddisabilities,Disabilities,54
faq.ssa.gov/link/portal/34011/34019/article/3706/how-can-i-get-a-form-ssa-1099-1042s-social-security-benefit-statement,"How can I get a form SSA-1099/1042S, Social Security Benefit Statement?",54
bls.gov/ooh/,Home : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,53
cdc.gov/ncbddd/birthdefects/microcephaly.html,Facts about Microcephaly | Birth Defects | NCBDDD | CDC,53
archives.gov/exhibits/charters/declaration_transcript.html,Declaration of Independence - Text Transcript,52
cpsc.gov/en/recalls/2016/goodman-company-expands-recall-of-air-conditioning-and-heating-units/,Goodman Company Expands Recall of Air Conditioning and Heating Units Due to Burn and Fire Hazards | CPSC.gov,52
fda.gov/,U S Food and Drug Administration Home Page,52
irs.gov/businesses/small-businesses-&-self-employed/employer-id-numbers-eins,Employer ID Numbers,52
irs.gov/filing/individuals/amended-returns-(form-1040-x)/wheres-my-amended-return-1,Where's My Amended Return?,52
spc.noaa.gov/,NOAA/NWS Storm Prediction Center,52
usajobs.gov/applicant/savedjobs/listsavedjobs,USAJOBS - Saved Jobs,52
fsis.usda.gov/wps/portal/fsis/home,USDA Food Safety and Inspection Service,51
irs.gov/uac/checking-the-status-of-your-refund,Checking the Status of Your Refund,51
irs.gov/uac/interactive-tax-assistant-(ita)-1,Interactive Tax Assistant (ITA),51
nsopw.gov/en/search/results,Search Results,51
spanish.mexico.usembassy.gov/es/visas/visas-de-no-inmigrante/como-solicitarla.html,Â¿CÃ_mo Solicitar la Visa? | Mexico - MisiÃ_n DiplomÃ¡tica de los Estados Unidos,51
tsa.gov/tsa-precheck,TSA Preâœ“Â® | Transportation Security Administration,51
wrh.noaa.gov/sgx/,National Weather Service - NWS San Diego,51
irs.gov/individuals/free-tax-return-preparation-for-you-by-volunteers,Free Tax Return Preparation for Qualifying Taxpayers,50
ssa.gov/bso/bsowelcome.htm,Business Services Online,50
usa.gov/,U.S. Government's Official Web Portal | USA.gov,50
ceac.state.gov/genniv/general/complete/complete_travelcompanions.aspx?node=travelcompanions,Nonimmigrant Visa - Travel Companions Information,49
census.gov/eos/www/naics/,North American Industry Classification System (NAICS) Main Page ï¿_ U.S. Census Bureau,49
dol.gov/whd/fmla/,Family and Medical Leave Act - Wage and Hour Division (WHD) - U.S. Department of Labor,49
nfc.usda.gov/,Home | National Finance Center,49
ssa.gov/disabilityssi/,Social Security Disability Benefits - Online Application Information,49
treasury.gov/pages/social.aspx,Social Hub,49
tsa.gov/,Transportation Security Administration,49
ceac.state.gov/genniv/general/complete/complete_workeducation3.aspx?node=workeducation3,Nonimmigrant Visa - Additional Work/Education/Training Information,48
eauth.va.gov/wssweb/wss-common-webparts/mvc/viewmydashboard,Your Dashboard - eBenefits,48
fbo.gov/index,Home - Federal Business Opportunities: Home,48
irs.gov/credits-&-deductions,Credits & Deductions,48
petitions.whitehouse.gov/petition/demand-brooklyn-district-attorney-kenneth-p-thompson-withdraw-indictment-against-asian-minority-officer-peter-liang-177,Demand Brooklyn District Attorney Kenneth P. Thompson to withdraw indictment against Asian minority Officer Peter Liang! | We the People: Your Voice in Our Government,48
treasury.gov/tigta/contact_report_scam.shtml,Contact: IRS Impersonation Scam Reporting - U.S. Treasury Inspector General for Tax Administration (TIGTA),48
apps.irs.gov/app/scripts/exit.jsp?dest=https://play.google.com/store/apps/details?id=gov.irs&referrer=utm_source=irspup,IRS Disclaimer,47
benefits.va.gov/compensation/resources_comp01.asp,Veterans Compensation Benefits Rate Tables - Effective 12/1/14 - Compensation,47
cdc.gov/std/spanish/vph/stdfact-hpv-s.htm,InfecciÃ_n genital por VPH - Enfermedades de transmisiÃ_n sexual,47
cdc.gov/zika/geo/active-countries.html,Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC,47
census.gov/popclock/,Population Clock,47
consumer.ftc.gov/articles/0149-debt-collection,Debt Collection | Consumer Information,47
data.bls.gov/search/query/results?cx=013738036195919377644:6ih0hfrgl50,BLS Search Results,47
gsaadvantage.gov/advantage/main/start_page.do,Welcome to GSA Advantage!,47
irs.gov/uac/pay-taxes-by-credit-or-debit-card,Pay your Taxes by Debit or Credit Card,47
socialsecurity.gov/agency/contact/,Contact Social Security,47
spc.noaa.gov/products/outlook/,Storm Prediction Center Convective Outlooks,47
ssd.noaa.gov/goes/east/gmex/flash-vis.html,Gulf Of Mexico - Visible Loop (Flash) - Satellite Products and Services Division/Office of Satellite and Product Operations,47
uscis.gov/i-864,Affidavit of Support Under Section 213A of the Act | USCIS,47
apps.irs.gov/app/scripts/exit.jsp?dest=https://www.freefilefillableforms.com/,IRS Disclaimer,46
benefits.va.gov/gibill/,Education and Training Home,46
egov.uscis.gov/casestatus/logoff.do,myUSCIS - Case Status Search,46
irs.gov/individuals/international-taxpayers/taxpayer-identification-numbers-tin,Taxpayer Identification Numbers (TIN),46
irs.gov/uac/about-form-1095-b,"Form 1095-B, Health Coverage",46
nicsezcheckfbi.gov/,FBI NICS E-Check System - Welcome Page,46
spc.noaa.gov/products/outlook/day1otlk.html,"Storm Prediction Center Feb 17, 2016 2000 UTC Day 1 Convective Outlook",46
tsa.gov/travel/security-screening/liquids-rule,Liquids Rule | Transportation Security Administration,46
uscis.gov/file-online/file-form-i-90-online,File the Form I-90 Online | USCIS,46
apps.irs.gov/app/picklist/list/formspublications.html?value=1040&criteria=formnumber&submitsearch=find,Forms and Publications (PDF),45
apps.irs.gov/app/taxmat/thanks.jsp,Thank You,45
cbp.gov/travel/international-visitors/i-94-instructions,Arrival/Departure Forms: I-94 and I-94W | U.S. Customs and Border Protection,45
cdc.gov/flu/about/disease/symptoms.htm,Flu Symptoms & Severity | Seasonal Influenza (Flu) | CDC,45
eauth.va.gov/wssweb/wss-common-webparts/mvc/ebn/paymenthistorysummary,Payment History,45
nsopw.gov/en-us/search/printview,NSOPW Print View,45
opm.gov/cybersecurity/,Cybersecurity Resource Center,45
travel.state.gov/content/visas/en/forms/ds-160--online-nonimmigrant-visa-application/frequently-asked-questions.html,DS-160: Frequently Asked Questions,45
usitc.gov/tata/hts/bychapter/index.htm,2015 HTSA Revision 2 Edition | USITC,45
cdc.gov/std/herpes/stdfact-herpes.htm,STD Facts - Genital Herpes,44
irs.gov/uac/about-form-1099misc,"Form 1099-MISC, Miscellaneous Income",44
irs.gov/uac/newsroom/irs-warns-of-pervasive-telephone-scam,IRS Warns of Pervasive Telephone Scam,44
my.uscis.gov/findadoctor,USCIS - Find a Doctor,44
smclinician.myhealth.va.gov/mhv-sm-web/reply.action,My HealtheVet - Secure Messaging - Read Message,44
apps.irs.gov/app/stdc/stdc.html,2015 Sales Tax Deduction Calculator,43
apps.irs.gov/app/withholdingcalculator/index5.jsp,2016 Withholding Calculator,43
cbp.gov/,U.S. Customs and Border Protection | Securing America's Borders,43
cdc.gov/std/spanish/sifilis/stdfact-syphilis-s.htm,SÃ_filis - Enfermedades de transmisiÃ_n sexual,43
irs.gov/individuals/understanding-your-irs-notice-or-letter,Understanding Your IRS Notice or Letter,43
my.usajobs.gov/search/getadvancedsearchresults,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,43
osha.gov/,Occupational Safety and Health Administration - Home,43
travel.state.gov/content/visas/en/general/photos.html,Photo Requirements,43
treasurydirect.gov/indiv/tools/tools_savingsbondcalc.htm,Individual - Savings Bond Calculator,43
wrh.noaa.gov/pqr/,National Weather Service - NWS Portland,43
bhs.econ.census.gov/bhs/cfsadvance/index.html,Commodity Flow Survey Advance Questionnaire,42
e-verify.uscis.gov/emp/vislogin.aspx?js=yes,E-Verify - Login,42
eol.jsc.nasa.gov/hdev/,HDEV,42
gobierno.usa.gov/,Inicio | GobiernoUSA.gov,42
irs.gov/spanish,Spanish,42
nlm.nih.gov/medlineplus/spanish/sexuallytransmitteddiseases.html,Enfermedades de transmisiÃ_n sexual: MedlinePlus en espaÃ±ol,42
public-prod-elis2.uscis.dhs.gov/efile/app/app/#!/,USCIS,42
studentaid.ed.gov/sa/my-student-aid,My Student Aid | Federal Student Aid,42
travel.state.gov/content/visas/en/visit/visitor.html,Visitor Visa,42
treasurydirect.gov/go_to_login.htm,TreasuryDirect Application,42
usahire.opm.gov/do/g2allpurpose1,USA Hire,42
bls.gov/,U.S. Bureau of Labor Statistics,41
dhs.gov/how-do-i/check-immigration-case-status,Check Immigration Case Status | Homeland Security,41
irs.gov/?platform=hootsuite,Internal Revenue Service,41
irs.gov/individuals/payment-plans-installment-agreements,"Payment Plans, Installment Agreements",41
my.usajobs.gov/,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,41
my.usajobs.gov/applicant/myaccount/home,My Account - Home,41
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_nfto=false&_pagelabel=mhvhome&wt.ac=splash_mhvhome_enterbox,My HealtheVet,41
petitions.whitehouse.gov/petition/demand-brooklyn-district-attorney-kenneth-p-thompson-withdraw-indictment-against-asian-minority-officer-peter-liang-177?from=timeline&isappinstalled=0,Demand Brooklyn District Attorney Kenneth P. Thompson to withdraw indictment against Asian minority Officer Peter Liang! | We the People: Your Voice in Our Government,41
studentaid.ed.gov/sa/repay-loans/consolidation,Loan Consolidation | Federal Student Aid,41
studentaid.ed.gov/sa/types/tax-benefits,Tax Benefits | Federal Student Aid,41
census.gov/,Census.gov,40
census.gov/quickfacts/,QuickFacts,40
irs.gov/individuals/identity-protection,"Identity Protection: Prevention, Detection and Victim Assistance",40
irs.gov/uac/contact-my-local-office-in-california,Contact My Local Office in California,40
irs.gov/uac/do-i-need-to-file-a-tax-return,Do I Need to File a Tax Return?,40
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfls=false&_nfpb=true&_nfto=true&_pagelabel=mhvhome,My HealtheVet,40
ssa.gov/planners/benefitcalculators.html,Calculators,40
weather.gov/cys/highwindmountainsnow,TRAVEL ALERT: 70 to 80 MPH Winds Expected Thursday into Friday. Heavy Snow Coming to the SE Wyoming Mountains.,40
